Loading projection matrices.
Loading images.
Loading silhouettes.
Creating camera objects.
Creating voxel grid.
Processing voxels.
Creating PLY file.
Determining point colors.
Done.
         10027682 function calls (10003032 primitive calls) in 11.618 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 ode.py:1(<module>)
      200    0.001    0.000    0.010    0.000 winterm.py:85(get_position)
38096/37853    0.007    0.000    0.010    0.000 logic.py:236(__hash__)
       14    0.000    0.000    0.010    0.001 __init__.py:2017(_by_version_descending)
        1    0.000    0.000    0.010    0.010 power.py:1(<module>)
        3    0.000    0.000    0.009    0.003 common.py:1(<module>)
       26    0.000    0.000    0.009    0.000 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.009    0.009 algebraicfield.py:1(<module>)
109004/107628    0.009    0.000    0.009    0.000 {built-in method builtins.len}
     1830    0.007    0.000    0.009    0.000 Camera.py:62(get_image_color)
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
        1    0.000    0.000    0.009    0.009 platform.py:572(_node)
        1    0.000    0.000    0.009    0.009 specifiers.py:1(<module>)
        2    0.000    0.000    0.009    0.005 codegen.py:997(_finalize_specific)
      201    0.009    0.000    0.009    0.000 win32.py:102(GetConsoleScreenBufferInfo)
     5598    0.004    0.000    0.009    0.000 conflict.py:12(consistent)
       15    0.000    0.000    0.009    0.001 codegen.py:1059(wrapper)
        1    0.000    0.000    0.009    0.009 cpu.py:1(<module>)
        1    0.000    0.000    0.009    0.009 polyclasses.py:1(<module>)
    58324    0.006    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    14588    0.005    0.000    0.009    0.000 conflict.py:7(supercedes)
        2    0.000    0.000    0.009    0.004 executionengine.py:87(finalize_object)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
      221    0.001    0.000    0.009    0.000 function.py:121(arity)
        1    0.000    0.000    0.009    0.009 polyroots.py:1(<module>)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
    11860    0.005    0.000    0.008    0.000 libmpf.py:454(to_float)
    10504    0.008    0.000    0.008    0.000 libmpf.py:208(_normalize1)
     1131    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.008    0.008 pythonapi.py:1(<module>)
      200    0.008    0.000    0.008    0.000 win32.py:113(SetConsoleCursorPosition)
21434/21204    0.005    0.000    0.008    0.000 abstract.py:117(__hash__)
      166    0.000    0.000    0.008    0.000 extending.py:205(decorate)
        2    0.000    0.000    0.008    0.004 containers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 doctest.py:1(<module>)
    47622    0.008    0.000    0.008    0.000 sympify.py:73(<genexpr>)
     1057    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.007    0.007 slice.py:1(<module>)
    11970    0.004    0.000    0.007    0.000 utils.py:466(stream_list)
       96    0.000    0.000    0.007    0.000 utilities.py:51(_iszero)
        9    0.000    0.000    0.007    0.001 typeconv.py:103(safe_unsafe)
        1    0.000    0.000    0.007    0.007 integers.py:1(<module>)
       16    0.000    0.000    0.007    0.000 Image.py:3018(open)
     4096    0.002    0.000    0.007    0.000 numbers.py:2080(_as_mpf_val)
        1    0.000    0.000    0.007    0.007 matexpr.py:1(<module>)
        1    0.000    0.000    0.007    0.007 hashing.py:1(<module>)
      109    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1517    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
    33273    0.007    0.000    0.007    0.000 {built-in method _bisect.bisect_right}
      543    0.001    0.000    0.007    0.000 assumptions.py:449(__init__)
        1    0.000    0.000    0.007    0.007 function.py:1(<module>)
      193    0.007    0.000    0.007    0.000 {built-in method nt.listdir}
      103    0.005    0.000    0.006    0.000 utils.py:246(_screen_shape_windows)
     1922    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.006    0.006 simplify.py:1(<module>)
       24    0.000    0.000    0.006    0.000 repmatrix.py:331(_new)
        1    0.000    0.000    0.006    0.006 codegen.py:1(<module>)
        1    0.000    0.000    0.006    0.006 caching.py:650(_load_overload)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
        3    0.000    0.000    0.006    0.002 linalg.py:1(<module>)
       84    0.000    0.000    0.006    0.000 __init__.py:2072(<genexpr>)
      239    0.000    0.000    0.006    0.000 extending.py:155(wrap)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
      109    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.006    0.006 pyparsing.py:5399(pyparsing_common)
     1057    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     4548    0.002    0.000    0.006    0.000 libmpf.py:330(from_int)
        1    0.000    0.000    0.006    0.006 euclidtools.py:1(<module>)
    14308    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
      140    0.000    0.000    0.006    0.000 __init__.py:2138(distributions_from_metadata)
        2    0.000    0.000    0.006    0.003 dense.py:1(<module>)
        1    0.000    0.000    0.006    0.006 trigonometric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parser.py:1(<module>)
    99/98    0.000    0.000    0.006    0.000 assumptions.py:489(_ask)
      350    0.002    0.000    0.006    0.000 inspect.py:2276(_signature_from_function)
      239    0.000    0.000    0.006    0.000 extending.py:138(register_jitable)
     2005    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
     1564    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.006    0.006 caching.py:404(rebuild)
